"ナビゲート","クイック・アウトライン","Ctrl+O","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.edit.text.java.show.outline"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","Alt+N","ターミナル入力接続","org.eclipse.tm.terminal.command1"
"テキスト編集","次の単語を選択","Ctrl+Shift+Right","テキストの編集","org.eclipse.ui.edit.text.select.wordNext"
"編集","前を検索","Ctrl+Shift+K","ウィンドウ","org.eclipse.ui.edit.findPrevious"
"ソース","Checkstyle フィックスの適用","Ctrl+Alt+C","Java ソースの編集","CheckstylePlugin.ApplyCheckstyleFixes"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","Alt+D","ターミナル入力接続","org.eclipse.tm.terminal.command1"
"ウィンドウ","Maven プロジェクトの更新","Alt+F5","ウィンドウ","org.eclipse.m2e.core.ui.command.updateProject"
"Glance","次の一致","Enter","Glance 検索コンテキスト","com.xored.glance.ui.nextResult"
"TM4E 言語構成","ブロック・コメントの除去","Ctrl+Shift+\","テキストの編集","org.eclipse.tm4e.languageconfiguration.removeBlockCommentCommand"
"実行/デバッグ","TestNG スイートをカバレッジ","Alt+Shift+E, G","ウィンドウ","org.eclipse.eclemma.ui.testNgSuiteShortcut.coverage"
"実行/デバッグ","メモリー・モニター・ペインを切り替え","Ctrl+T","メモリー・ビュー内","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Git","作業ツリーを縮小表示","Ctrl+Left","Git リポジトリー・ビュー","org.eclipse.egit.ui.RepositoriesViewCollapseWorkingTree"
"ナビゲート","指定行へジャンプ","Ctrl+L","テキストの編集","org.eclipse.ui.edit.text.goto.line"
"Git","ブランチの名前変更...","F2","Git リポジトリー・ビュー","org.eclipse.egit.ui.team.RenameBranch"
"サーバー","実行","Ctrl+Alt+R","サーバー・ビュー","org.eclipse.wst.server.run"
"編集","前回の選択を復元","Alt+Shift+Down","構造化テキスト・エディターで編集","org.eclipse.wst.sse.ui.structure.select.last"
"ビュー","ビューの表示 (同期化)","Alt+Shift+Q, Y","ウィンドウ","org.eclipse.ui.views.showView"
"Quick JUnit","テスティングペアを開く","Ctrl+9","テキストの編集","junit.extensions.eclipse.quick.command.OpenTestingPairAction"
"ナビゲート","クリップボードから開く","Ctrl+Shift+V","ウィンドウ","org.eclipse.jdt.debug.ui.command.OpenFromClipboard"
"ターミナル・ビュー・コマンド","クイック・アクセス","Alt+Right","フォーカスのターミナル制御","org.eclipse.tm.terminal.quickaccess"
"AnyEdit ツール","文字を HTML エンティティーに変換","Ctrl+Alt+E","テキストの編集","AnyEdit.escape.command"
"実行/デバッグ","ステップ・イン","F5","デバッグ","org.eclipse.debug.ui.commands.StepInto"
"ビュー","ビューの表示 (ヒストリー)","Alt+Shift+Q, Z","ウィンドウ","org.eclipse.ui.views.showView"
"テキスト編集","ズームアウト","Ctrl+Numpad_Subtract","テキストの編集","org.eclipse.ui.edit.text.zoomOut"
"ソース","ブロック・コメントの追加","Ctrl+Shift+/","Java ソースの編集","org.eclipse.jdt.ui.edit.text.java.add.block.comment"
"実行/デバッグ","サーバーで実行","Alt+Shift+X, R","ウィンドウ","org.eclipse.wst.server.launchShortcut.run"
"実行/デバッグ","強制リターン","Alt+Shift+F","ウィンドウ","org.eclipse.jdt.debug.ui.commands.ForceReturn"
"実行/デバッグ","SWTBot テストをカバレッジ","Alt+Shift+E, S","ウィンドウ","org.eclipse.eclemma.ui.swtBotJunitShortcut.coverage"
"実行/デバッグ","メモリー・ブロックの追加","Ctrl+Alt+M","メモリー・ビュー内","org.eclipse.debug.ui.commands.addMemoryMonitor"
"ターミナル・ビュー・コマンド","コピー","Ctrl+Shift+C","フォーカスのターミナル制御","org.eclipse.tm.terminal.copy"
"ビュー","ビューの表示","Alt+Shift+Q, D","ウィンドウ","org.eclipse.ui.views.showView"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","Alt+V","ターミナル入力接続","org.eclipse.tm.terminal.command1"
"ウィンドウ","エディターの切り替え","Ctrl+Shift+E","ウィンドウ","org.eclipse.ui.window.switchToEditor"
"編集","挿入モードを切り替えます","Ctrl+Shift+Insert","テキストの編集","org.eclipse.ui.edit.text.toggleInsertMode"
"編集","ワード・ラップの切り替え","Alt+Shift+Y","テキストの編集","org.eclipse.ui.edit.text.toggleWordWrap"
"Glance","Glance を閉じる","Esc","Glance 検索コンテキスト","com.xored.glance.commands.close"
"ナビゲート","対応する括弧にジャンプ","Ctrl+Shift+P","JavaScript ソースの編集中","org.eclipse.wst.jsdt.ui.edit.text.java.goto.matching.bracket"
"AnyEdit ツール","タブをスペースに変換","Ctrl+Alt+Space","ウィンドウ","AnyEdit.CnvrtTabToSpaces.command"
